Response ID,google_recall_app_no_consider,Code 1,Code 2,Code 3,Code 4,Code 5,Code 6,Code 7,Code 8
1,Protection and privacy of my data.,privacy,privacy->data_protection,,,,,,
2,what information they would have access to,personal_information,personal_information->what_type_accessible_collected,,,,,,
3,Protection and privacy of my data.,privacy,privacy->data_protection,,,,,,
4,,,,,,,,,
5,,,,,,,,,
10,,,,,,,,,
12,i would want to know that i could disengage this feature easily at any time and that the app was trusted by Google.,transfer_of_trust,transfer_of_trust->from_google,ease_of_use,ease_of_use->access_removal,,,,
13,How much access to my info they would have,personal_information,personal_information->what_type_accessible_collected,,,,,,
14,,,,,,,,,
16,,,,,,,,,
19,If the app was safe and legitimate.,safety_of_app,is_trusted,is_trusted->app,,,,,
21,,,,,,,,,
22,,,,,,,,,
24,,,,,,,,,
25,,,,,,,,,
26,what they are being given access to,personal_information,personal_information->what_type_accessible_collected,,,,,,
28,,,,,,,,,
29,,,,,,,,,
30,,,,,,,,,
31,"I would need to see if that app is safe, I do not want to just grant access to anyone.",safety_of_app,,,,,,,
32,Whether I trusted the program or company or not - or if I thought they were trying to scam me.,is_trusted,is_trusted->app,is_trusted->company,,,,,
35,,,,,,,,,
36,,,,,,,,,
39,I would make sure that my information is confidential and won't be given out to all sorts of third parties.,personal_information,personal_information->kept_confidential,personal_information->is_shared,,,,,
40,I mean I don't have anything important in my calendar. If they wanted email access I probably wouldn't do it,permissions,permissions->email_access,,,,,,
42,,,,,,,,,
46,,,,,,,,,
47,Access to photos or microphone.,permissions,permissions->media,,,,,,
50,,,,,,,,,
51,"I would consider what kind of information that they were collecting from my google account, how easy it would be to remove it from my google account if I was no longer interested in using that third-party app.",ease_of_use,ease_of_use->access_removal,personal_information,personal_information->what_type_accessible_collected,,,,
52,If it would be easier to login to my google account than to create a new account on that app,ease_of_use,ease_of_use->account_creation,,,,,,
53,,,,,,,,,
55,The trustworthiness of the app,is_trusted,is_trusted->app,,,,,,
56,,,,,,,,,
58,,,,,,,,,
59,,,,,,,,,
60,,,,,,,,,
61,I'd be concerned what kind of data they would be able to see and how this data would be used,personal_information,personal_information->what_type_accessible_collected,personal_information->how_used,,,,,
62,"Whether I wanted to share that information both with Google (presumably the application will be collecting additional information), and with the app in question.",,,,,,,,
64,If the website was legitimate,is_trusted,is_trusted->website,,,,,,
66,"What specific things they need access to, how reputable the app is",is_trusted,is_trusted->app,personal_information,personal_information->what_type_accessible_collected,,,,
67,If private information would be given to them or not.,personal_information,personal_information->what_type_accessible_collected,,,,,,
69,If I need to use that particular app at all,is_app_useful,,,,,,,
70,I would consider my data privacy when considering granting access to a third party app. I wouldn't want the company to have any access to my Google data.,privacy,personal_information,,,,,,
72,,,,,,,,,
73,,,,,,,,,
74,what they would be able to do from my account,permissions,personal_information,personal_information->how_used,,,,,
75,,,,,,,,,
78,"Privacy, how they would use information",privacy,personal_information,personal_information->how_used,,,,,
80,no,nothing,,,,,,,
81,"I would consider whether my account could be compromised, as well as whether my data would be obtained.",security,security->information_leak,,,,,,
84,"Where it came from, security, what parts it wants access to",security,is_trusted,permissions,permissions->access,,,,
86,Privacy and security.,privacy,security,,,,,,
87,"I would consider if they could view my emails, Google Drive information, etc. This seems more invasive than other instances that I recall using.",permissions,permissions->email_access,permissions->google_drive,,,,,
88,"I would consider what they are hoping to get access to (like which parts), whether I felt those parts were even a necessity for using that app, and how secure I felt the app itself was.",security,permissions,permissions->necessary,permissions->what_information_accessible,,,,
89,,,,,,,,,
90,"I'm not very reluctant to grant this type of access, so I would probably just agree to it.",unconcerned,,,,,,,
93,,,,,,,,,
95,,,,,,,,,
97,It depends on whether I really need or want to use it or not.,is_app_useful,,,,,,,
98,"Since I am not sure why a third-party app would need access to my Google account, I would not grant it and then I might research to find the reason",unknowns,unknowns->why_access_needed,,,,,,
99,,,,,,,,,
100,Why does it need access to certain elements of my google account and which ones,unknowns,unknowns->why_access_needed,permissions,,,,,
101,I would want to know why they need the information.,unknowns,unknowns->why_information_needed,,,,,,
103,,,,,,,,,
104,,,,,,,,,
105,What permissions am I giving up? Will this mine my data?,permissions,permissions->what_information_accessible,,,,,,
107,The sensitive information needed to access the app,,,,,,,,
108,,,,,,,,,
109,How my data was going to be used.,personal_information,personal_information->how_used,,,,,,
111,,,,,,,,,
112,I would think about why they would want this access and if I trusted them.,unknowns,unknowns->why_access_needed,is_trusted,,,,,
113,"What information would be shared, what kind of access/permissions the third-party would have to my information, account, and ability to make specific actions, as well as whether or not I could use the third party service without having to sign in.",permissions,permissions->what_information_accessible,other_options,other_options->use_without_sign_in,,,,
115,Why would I want it to attach to the calendar apps and so on - this is a bad idea generally speaking,permissions,permissions->calendar,,,,,,
116,,,,,,,,,
117,,,,,,,,,
122,What specifically they're asking to gain access to. Many times I deny if it's too invading.,permissions,permissions->access,,,,,,
123,,,,,,,,,
124,,,,,,,,,
125,"What parts of my account the app wanted access to, whether the app seemed safe/secure enough, how much privacy I wanted to maintain from the app, whether it was more important to be able to use the app or maintain privacy",safety_of_app,security,privacy,tradeoff,tradeoff->useful,,,
126,,,,,,,,,
127,I would consider how they plan on using my information before giving them access.,personal_information,personal_information->how_used,,,,,,
128,NO...I don't normally allow third party apps access to my account information,nothing,,,,,,,
129,,,,,,,,,
130,,,,,,,,,
132,,,,,,,,,
135,,,,,,,,,
137,how much information associated with my Google account that app has access to,personal_information,personal_information->amount_collected,,,,,,
138,If it takes my personal information and if it can track my location 24/7,personal_information,location_tracking,,,,,,
140,If this was a legitimate access request.,is_trusted,,,,,,,
141,How much do they see from my phone? They shouldn't have access to pictures.,personal_information,personal_information->photos,access_to_mobile_device,,,,,
142,if it was safe,safety_of_app,,,,,,,
143,,,,,,,,,
146,How much it would add to my calendar and emails.,personal_information,personal_information->calendar,personal_information->email,,,,,
147,I would not grant such invase acess,nothing,,,,,,,
148,what information they would have access to. What would they be doing with that information.,personal_information,personal_information->how_used,personal_information->what_type_accessible_collected,,,,,
149,I would consider how much information they would receive and if giving up my privacy was worth the service.,personal_information,personal_information->amount_collected,tradeoff,tradeoff->useful,,,,
150,"It would need to be an app I planned to use and rely on often, from a trusted developer.",is_trusted,is_trusted->developer,is_app_useful,,,,,
151,,,,,,,,,
152,,,,,,,,,
154,,,,,,,,,
155,I consider how much access the app is requesting and I try to determine if it's reasonable.,permissions,permissions->access,permissions->necessary,,,,,
156,Whether it was necessary and what it did for me,permissions,permissions->necessary,,,,,,
157,How it would use my information and if they were secure,security,personal_information,personal_information->how_used,,,,,
158,,,,,,,,,
159,,,,,,,,,
160,,,,,,,,,
162,,,,,,,,,
163,,,,,,,,,
164,,,,,,,,,
165,privacy and cost,privacy,cost,,,,,,
166,I would consider the privacy aspect before granting any form of access.,privacy,,,,,,,
167,"I'd need to know how much it would actually help me, and in what ways it would make my life easier. I'd also question if they'll be sending unnecessary emails.",is_app_useful,unwanted_emails,,,,,,
168,That there would/could be a loss of privacy,privacy,,,,,,,
170,"I would consider nothing again, I probably put too much trust in Google and it's become a crutch at this point, I would easily allow it to be used in 3rd party situations.",nothing,transfer_of_trust,transfer_of_trust->from_google,,,,,
171,,,,,,,,,
172,Security. Privacy.,privacy,security,,,,,,
174,,,,,,,,,
175,No,nothing,,,,,,,
177,"I might use it, but I would have to strongly consider what app I am using and whether I would really want that app to have access to my other Google information.",is_trusted,is_trusted->app,,,,,,
179,"Will this information be shared? If the EULA for Google says no, what loopholes exist to allow them to share my data?",personal_information,personal_information->is_shared,,,,,,
180,What information is being accessed by the third-party app.,personal_information,personal_information->what_type_accessible_collected,,,,,,
182,,,,,,,,,
184,not sure,unsure,,,,,,,
186,I would have to know I can trust the app before I would grant them access to my account.,is_trusted,is_trusted->app,,,,,,
187,,,,,,,,,
188,,,,,,,,,
189,If I want that app to be synced with my Google such as calendar.,is_app_useful,,,,,,,
191,,,,,,,,,
192,If it is safe to do so.,safety_of_app,,,,,,,
194,,,,,,,,,
195,,,,,,,,,
198,,,,,,,,,
199,,,,,,,,,
200,,,,,,,,,
201,,,,,,,,,
202,I would consider my privacy and if it was safe to be sharing that info with that website.,privacy,is_trusted,is_trusted->website,,,,,
203,,,,,,,,,
204,"what the service does, and the reputation that it has overall",is_trusted,is_trusted->app,is_app_useful,,,,,
207,,,,,,,,,
208,"What in particular it needed access to, it's privacy policy.",privacy,privacy->privacy_policy,permissions,permissions->access,,,,
209,,,,,,,,,
210,,,,,,,,,
212,,,,,,,,,
213,,,,,,,,,
214,"I want to have full control over my account, and not let another app have anything to do with it. I'd not trust the app, and wouldn't want them invading my privacy.",privacy,is_trusted,is_trusted->app,,,,,
215,I'd consider whether that third party app will send me lots of emails or what the third party app is for.,is_app_useful,unwanted_emails,,,,,,
216,I would wonder what benefit it would be to me and if it were completely necessary to give a third party app any additional access.,permissions,permissions->necessary,,,,,,
217,Im not sure,unsure,,,,,,,
220,,,,,,,,,
221,,,,,,,,,
222,,,,,,,,,
223,"Sure, I think there are enough measures in place to ensure privacy.",privacy,,,,,,,
225,What kind of information they are accessing.,personal_information,personal_information->what_type_accessible_collected,,,,,,
226,,,,,,,,,
228,,,,,,,,,
230,"I would consider if I really need the services that the app offer. Also, do I trust the app to access my Google information.",is_app_useful,is_trusted,is_trusted->app,,,,,
231,,,,,,,,,
233,,,,,,,,,
234,,,,,,,,,
235,,,,,,,,,
236,,,,,,,,,
237,,,,,,,,,
238,privacy,privacy,,,,,,,
239,,,,,,,,,
241,,,,,,,,,
242,,,,,,,,,
245,,,,,,,,,
246,"I don't recall ever granting access to third party apps but I'm sure I have. I wouldn't consider anything before granting access, I already have a google account and a smartphone my privacy is already compromised so why overthink it.",nothing,,,,,,,
248,Will they be storing my personal information.,personal_information,,,,,,,
249,How necessary it was. I would not grant access unless doing so would be extremely beneficial to me.,permissions,permissions->necessary,is_app_useful,,,,,
250,,,,,,,,,
251,,,,,,,,,
253,,,,,,,,,
255,thats too much permissions for something,permissions,permissions->necessary,,,,,,
256,If the service I was granting access to was trustworthy and exactly what information they were trying to gain access to in my Google Account.,is_trusted,is_trusted->app,permissions,permissions->what_information_accessible,,,,
257,Why the app needs the access it does. I would also be concerned about what they did with the information after they got it,permissions,permissions->necessary,personal_information,personal_information->how_used,,,,
258,,,,,,,,,
259,,,,,,,,,
260,Privacy and security,privacy,security,,,,,,
261,How my information is being used and what they can access.,permissions,permissions->what_information_accessible,personal_information,personal_information->how_used,,,,
262,,,,,,,,,
263,what it is asking for access for.,permissions,permissions->access,,,,,,
264,,,,,,,,,
266,I would consider what they were asking to access. They shouldn't be able to access my webcam or identity.,permissions,permissions->webcam,personal_information,personal_information->sensitive,,,,
268,"Big brother would know my schedule. No, thank you.",personal_information,personal_information->schedule,,,,,,
270,,,,,,,,,
271,if it was going to spam me with unnecessary notifications/emails,unwanted_emails,,,,,,,
273,,,,,,,,,
275,I would just want to make sure it was safe for Google and my account.,safety_of_app,,,,,,,
276,,,,,,,,,
277,I would consider what personal info connected to my Google Account that they would receive.,personal_information,personal_information->what_type_accessible_collected,,,,,,
278,,,,,,,,,
279,,,,,,,,,
284,If I trust the app or not,is_trusted,is_trusted->app,,,,,,
285,,,,,,,,,
288,protection of my information,personal_information,,,,,,,
289,How well-known and secure the app is and if it is worth the risk,is_trusted,is_trusted->app,security,,,,,
291,,,,,,,,,
292,,,,,,,,,
295,I'd read everything it was granting access to before deciding to approve,permissions,permissions->access,,,,,,
296,,,,,,,,,
297,I would be very concerned about my data being shared without my permission,personal_information,personal_information->is_shared,,,,,,
298,"I first have to consider the credibility of the website (is it legitimate/has good reviews/security), how much I would use the third-party app, and how much I need to have reminders for it.",is_trusted,is_trusted->website,is_app_useful,,,,,
299,,,,,,,,,
300,,,,,,,,,
301,what data it wanted to access,personal_information,personal_information->what_type_accessible_collected,,,,,,
302,,,,,,,,,
